                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0227,                 2.4624,                 1.3532,                 1.1186,                0.55421,                0.55754,                0.57981,                0.41835,                0.53715,                0.52337,                0.53526,                0.35027,                 1.1001,                 2.4833,                 1.2205,                 1.1337,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1394,                 2.6597,                   1.41,                 1.1884,                0.66602,                0.52384,                0.59748,                0.43607,                0.59196,                0.53602,                0.55242,                0.36185,                 1.0853,                 2.4402,                 1.1643,                 1.1222,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                  1.129,                 2.5972,                 1.3034,                 1.1599,                0.61024,                0.59459,                0.61404,                0.45276,                0.58846,                0.56698,                0.57441,                0.37868,                  1.073,                 2.4118,                 1.1268,                 1.1138,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.0587,                 2.4821,                 1.2854,                 1.1468,                 0.6737,                0.58595,                0.63455,                0.46798,                0.64458,                0.56083,                 0.5926,                0.38893,                 1.0582,                 2.3834,                 1.0908,                 1.1044,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1298,                 2.5492,                 1.3214,                 1.1503,                0.70296,                0.58458,                0.65946,                0.48832,                 0.6759,                0.54595,                0.61298,                 0.4012,                 1.0454,                 2.3648,                 1.0595,                 1.0958,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.0933,                 2.4786,                 1.1956,                 1.1466,                0.70631,                0.61524,                0.67274,                0.50701,                0.67879,                0.56992,                0.62303,                0.41307,                 1.0343,                 2.3369,                 1.0348,                 1.0897,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0661,                 2.4841,                 1.1652,                   1.13,                0.72702,                0.61836,                 0.6956,                 0.5274,                0.68533,                0.58549,                0.64808,                0.42381,                 1.0294,                  2.317,                 1.0113,                 1.0879,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0362,                  2.385,                 1.1092,                 1.1074,                0.74246,                0.63227,                0.71452,                0.54133,                0.70465,                0.59851,                 0.6609,                0.43571,                 1.0176,                 2.3027,                0.97832,                 1.0803,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0444,                 2.3944,                 1.1211,                  1.099,                0.74742,                0.64586,                0.72255,                0.55233,                0.70458,                0.60972,                0.67015,                0.44053,                  1.011,                  2.271,                0.94616,                 1.0743,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0305,                 2.3733,                 1.1091,                 1.1213,                0.77253,                0.64653,                0.73093,                0.55773,                 0.7227,                0.61112,                0.67155,                0.44786,                 1.0068,                 2.2547,                0.92525,                  1.071,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0559,                 2.4313,                 1.1052,                 1.1084,                0.81942,                0.63205,                0.74385,                0.56648,                0.78084,                0.58369,                0.67097,                0.45312,                 1.0001,                  2.232,                0.89691,                 1.0661,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.99636,                 2.2371,                 1.0623,                 1.0873,                0.81093,                0.63646,                0.75222,                0.57233,                0.74479,                0.59675,                0.68079,                0.45833,                0.98869,                 2.2095,                0.88335,                 1.0609,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0136,                 2.3532,                 1.0444,                 1.1126,                0.79021,                 0.6453,                0.75684,                0.57961,                0.74748,                0.61305,                0.69123,                0.46044,                0.97565,                 2.1773,                0.86363,                 1.0538,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0377,                 2.3137,                 1.0787,                 1.1033,                0.76768,                0.66601,                 0.7637,                0.58566,                0.72807,                0.63402,                0.69779,                0.46429,                0.96604,                 2.1588,                0.85127,                 1.0471,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0659,                 2.3433,                 1.0865,                 1.1084,                0.77384,                0.67597,                0.76778,                0.58936,                0.72694,                0.64911,                0.70342,                0.46763,                0.95951,                 2.1462,                0.83765,                 1.0405,             0.00010368,             0.00010368,             0.00010368
                     16,                0.99762,                 2.2768,                 1.0693,                 1.0886,                0.75544,                0.71025,                0.77393,                0.59918,                0.71572,                0.67647,                0.71624,                0.47666,                0.94858,                 2.1314,                0.81758,                 1.0351,             0.00010251,             0.00010251,             0.00010251
                     17,                 0.9925,                 2.3208,                 1.0644,                 1.0937,                0.74228,                 0.7263,                0.78598,                0.61267,                0.72035,                0.67814,                0.71517,                 0.4816,                0.94072,                 2.1111,                0.80371,                 1.0313,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0021,                 2.2242,                0.99866,                 1.0825,                0.78611,                0.70672,                0.78995,                0.61582,                 0.7559,                0.67439,                 0.7223,                0.48452,                0.93375,                  2.099,                 0.7928,                 1.0273,             0.00010015,             0.00010015,             0.00010015
                     19,                0.95609,                 2.2021,                0.97989,                 1.0751,                0.77882,                0.71967,                0.79605,                0.61684,                0.76046,                0.67639,                0.72606,                0.48417,                0.92656,                 2.0821,                0.78764,                 1.0227,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.94766,                  2.156,                0.96068,                 1.0657,                 0.7715,                0.73733,                0.80672,                0.62539,                0.76463,                0.68346,                0.73587,                0.48967,                0.92221,                 2.0655,                0.77719,                 1.0189,             9.7794e-05,             9.7794e-05,             9.7794e-05
